year,month,DT_NOTIFICACAO,SG_UF_NOT,ID_MUNICIP,DT_CARGA,count
2020,1,2020-01-08,AM,MANAUS,2024-08-04,5
2020,1,2020-01-27,SP,MOJI MIRIM,2024-08-04,1
2020,1,2020-01-30,AC,RIO BRANCO,2024-08-04,1
2020,1,2020-01-13,GO,CATALAO,2024-08-04,1
2020,2,2020-02-05,SP,SAO PAULO,2024-08-04,12
2020,1,2020-01-30,MA,SAO LUIS,2024-08-04,2
2020,2,2020-02-17,SP,BOITUVA,2024-08-04,1
2020,2,2020-02-16,PR,LONDRINA,2024-08-04,1
2020,2,2020-02-19,GO,CHAPADAO DO CEU,2024-08-04,1
2020,2,2020-02-20,AM,MANAUS,2024-08-04,2
2020,2,2020-02-20,ES,VITORIA,2024-08-04,1
2020,1,2020-01-06,MG,NOVA LIMA,2024-08-04,1
2020,2,2020-02-29,SP,CAMPINAS,2024-08-04,1
2020,3,2020-03-01,BA,EUNAPOLIS,2024-08-04,1
2020,3,2020-03-12,SP,RIBEIRAO PRETO,2024-08-04,3
2020,3,2020-03-15,SP,ANDRADINA,2024-08-04,1
2020,3,2020-03-16,MG,BELO HORIZONTE,2024-08-04,21
2020,3,2020-03-22,MG,UBERLANDIA,2024-08-04,6
2020,3,2020-03-21,SP,PAULINIA,2024-08-04,1
2020,3,2020-03-25,SP,MARILIA,2024-08-04,3
2020,3,2020-03-25,MG,MONTE CARMELO,2024-08-04,1
2020,3,2020-03-24,SP,VALPARAISO,2024-08-04,1
2020,3,2020-03-25,MS,PARANAIBA,2024-08-04,1
2020,3,2020-03-16,MT,NOVA MUTUM,2024-08-04,2
2020,3,2020-03-30,MS,SAO GABRIEL DO OESTE,2024-08-04,1
2020,3,2020-03-31,SC,SAO BENTO DO SUL,2024-08-04,1
2020,3,2020-03-28,PR,UMUARAMA,2024-08-04,1
2020,3,2020-03-24,BA,FEIRA DE SANTANA,2024-08-04,1
2020,4,2020-04-02,SP,JUNQUEIROPOLIS,2024-08-04,4
2020,3,2020-03-25,MG,SETE LAGOAS,2024-08-04,1
2020,4,2020-04-03,MG,LAMBARI,2024-08-04,1
2020,4,2020-04-04,SP,SAO JOSE DO RIO PRETO,2024-08-04,8
2020,4,2020-04-05,PE,RECIFE,2024-08-04,57
2020,4,2020-04-02,RS,TRIUNFO,2024-08-04,2
2020,4,2020-04-05,PA,PARAUAPEBAS,2024-08-04,3
2020,3,2020-03-18,MG,UBERABA,2024-08-04,1
2020,4,2020-04-04,MS,FATIMA DO SUL,2024-08-04,1
2020,4,2020-04-02,GO,GOIANIA,2024-08-04,7
2020,3,2020-03-30,MG,ESTIVA,2024-08-04,1
2020,3,2020-03-27,SP,FRANCO DA ROCHA,2024-08-04,1
2020,4,2020-04-08,RS,VERANOPOLIS,2024-08-04,1
2020,4,2020-04-07,BA,CAETITE,2024-08-04,1
2020,4,2020-04-08,MG,ITAJUBA,2024-08-04,2
2020,4,2020-04-08,SC,TUBARAO,2024-08-04,1
2020,4,2020-04-13,BA,SALVADOR,2024-08-04,21
2020,4,2020-04-11,PR,IVAIPORA,2024-08-04,1
2020,4,2020-04-11,SP,SAO JOSE DOS CAMPOS,2024-08-04,6
2020,4,2020-04-15,MG,VARGINHA,2024-08-04,2
2020,4,2020-04-14,SP,ITAPEVI,2024-08-04,6
2020,1,2020-01-02,RS,TORRES,2024-08-04,1
2020,1,2020-01-08,BA,SALVADOR,2024-08-04,2
2020,1,2020-01-08,RS,CANOAS,2024-08-04,1
2020,1,2020-01-12,MS,CAMPO GRANDE,2024-08-04,1
2020,1,2020-01-11,MG,UBERLANDIA,2024-08-04,1
2020,1,2020-01-27,SP,MOGI DAS CRUZES,2024-08-04,2
2020,1,2020-01-27,MS,DOURADOS,2024-08-04,1
2020,2,2020-02-10,SP,CAMPINAS,2024-08-04,1
2020,2,2020-02-20,SP,SAO JOSE DO RIO PRETO,2024-08-04,1
2020,2,2020-02-28,PE,OLINDA,2024-08-04,1
2020,2,2020-02-26,PR,MARINGA,2024-08-04,1
2020,3,2020-03-09,MG,SANTA VITORIA,2024-08-04,1
2020,3,2020-03-10,MG,PATROCINIO,2024-08-04,1
2020,3,2020-03-10,SP,CATANDUVA,2024-08-04,2
